"","PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
"4587",3015934,18144767,10,"2018-07-29T04:22:00","300 Block S Graham ST Pittsburgh, PA 15232","Y","Friendship","5","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",807,9,2,-79.93378542,40.46689026
"4588",3043251,18231337,99,"2018-11-24T12:15:00","7300 Block Idlewild ST Pittsburgh, PA 15208","Y","Homewood North","5",NA,"9999 Miscellaneous Report (No Crime)",1302,9,2,-79.8937841049223,40.4575042265969
"4589",2120045,5169274,6,"2005-08-29T11:30:00","6200 Block 5TH AV PITTSBURGH, PA ","N","Shadyside","4","THEFT BICYCLES","3921 Theft by Unlawful Taking or Disposition.",706,8,3,-79.92238615,40.45233135
"4590",2087182,5032953,24,"2005-03-04T09:30:00","6700 Block MCPHERSON BL PITTSBURGH, PA ","N","Point Breeze North","4","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",1405,9,2,-79.91058773,40.455468
"4591",2958602,17226476,10,"2017-11-23T05:18:00","1500 Block Obey AV Pittsburgh, PA 15205","Y","Crafton Heights","6","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2815,2,5,-80.0507297368934,40.4401792861078
"4592",2928204,17132278,99,"2017-07-15T15:31:00","2300 Block Valera ST Pittsburgh, PA 15210","Y","Carrick","3",NA,"9998 Overdose Other",2904,4,4,-79.9874066478534,40.3879339022488
"4593",3081225,19102848,26,"2019-05-28T19:54:00","7200 Block Idlewild ST Pittsburgh, PA 15208","Y","Homewood North","5","ALL OTHER OFFENSES(EXPT TRAFF)","1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 627.02(b)(i) Possessing a small amount of marijuana",1302,9,2,-79.8959682707676,40.4581654165085
"4594",3084943,19111282,26,"2019-06-08T12:45:00","2700 Block Banksville RD Pittsburgh, PA 15216","Y","Banksville","6","HARRASSMENT-OTHER","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2023,2,5,-80.0376781835755,40.4053722640332
"4595",2843592,16126529,99,"2016-07-07T23:27:00","Brookline BL & Pioneer AV Pittsburgh, PA 15226","N","Brookline","6",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1919,4,4,-80.02366164,40.39622987
"4596",3059036,19014539,99,"2019-01-16T15:00:00","300 Block LINCOLN AV PITTSBURGH, PA 15206","N","Larimer","5",NA,"2701 Simple Assault.",1208,9,2,-79.9125349201526,40.4605491926759
"4597",3060441,19033448,99,"2019-02-20T13:04:00","5500 Block Walnut ST Pittsburgh, PA 15232","Y","Shadyside","4",NA,"9999 Miscellaneous Report (No Crime)",703,8,2,-79.9335971929764,40.4509740567583
"4598",2879860,16235232,99,"2016-12-16T21:50:00","1100 Block Downlook ST Pittsburgh, PA 15201","N","Stanton Heights","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1018,7,2,-79.93960443,40.48371993
"4599",2964919,17244095,6,"2017-12-19T21:55:00","3700 Block Forbes AV Pittsburgh, PA 15213","N","Central Oakland","4","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",405,3,3,-79.9573683368055,40.4410242497158
"4600",3026275,18178568,99,"2018-09-06T00:02:00","2000 Block Jacob ST Pittsburgh, PA 15210","N","Brookline","6",NA,"2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.",3206,4,5,-79.99926812,40.39220788
"4601",3059654,19029572,18,"2019-02-14T17:25:00","3000 Block Chartiers AV Pittsburgh, PA 15204","Y","Sheraden","6","MARIJUANA-POSSESS","9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount",2022,2,5,-80.058481942609,40.4545060858459
"4602",2949800,17196245,6,"2017-10-11T08:00:00","400 Block Venture ST Pittsburgh, PA 15214","N","Perry North","1","THEFT FROM AUTO","4106 Access Device Fraud / 3934 Theft from Vehicle",2607,1,1,-80.0118877753785,40.4853278999424
"4603",2945643,17186739,99,"2017-09-27T17:45:00","1200 Block Nolan CT Pittsburgh, PA 15221","Y","Homewood North","5",NA,"9999 Miscellaneous Report (No Crime)",1301,9,2,-79.8868929051582,40.4594310387638
"4604",2955487,17214332,14,"2017-11-05T08:00:00","7200 Block Mt Vernon ST Pittsburgh, PA 15208","N","Homewood North","5","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1301,9,2,-79.8944221111902,40.4611821163003
"4605",2829547,16083445,6,"2016-05-07T10:30:00","400 Block N Highland AV Pittsburgh, PA 15206","Y","East Liberty","5","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",1115,9,2,-79.92217164,40.4651578
"4606",2999131,18096262,6,"2018-05-01T17:00:00","4800 Block Liberty AV Pittsburgh, PA 15224","N","Bloomfield","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",809,7,2,-79.94702267,40.46036027
"4607",2127530,5201600,14,"2005-10-10T21:16:00","200 Block PENFORT ST PITTSBURGH, PA ","N","Northview Heights","1","CRIMINAL MISCHIEF","3304 Criminal Mischief. / 2709 Harassment (Non-Specific)",2609,1,1,-80.00208314,40.47460963
"4608",2867412,16200671,6,"2016-10-24T08:30:00","3600 Block Baytree ST Pittsburgh, PA 15214","N","Perry North","1","THEFT FROM AUTO","3934 Theft from Vehicle",2602,1,1,-80.01024662,40.4885116
"4609",2138121,5240539,6,"2005-12-07T05:30:00","3400 Block 5TH AV PITTSBURGH, PA ","N","Central Oakland","4","THEFT FROM BUILDING","3921 Theft by Unlawful Taking or Disposition.",405,6,3,-79.96178778,40.43912007
"4610",3063009,19039539,10,"2019-03-01T08:39:00","700 Block Fairston ST Pittsburgh, PA 15204","Y","Crafton Heights","6","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2814,2,5,-80.0530351661468,40.4500616795528
"4611",2823208,16065158,6,"2016-04-10T21:00:00","S 10th ST & Bingham ST Pittsburgh, PA 15203","N","South Side Flats","3","THEFT FROM AUTO","3934 Theft from Vehicle",1702,3,4,-79.98860916,40.42941436
"4612",2884906,17006920,6,"2017-01-10T23:59:00","600 Block Penn AV Pittsburgh, PA 15222","N","Central Business District","2","THEFT/PROP-LOST/MISLAID/DEL","3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-80.0017895087709,40.4425849499054
"4613",2085036,5024861,5,"2005-02-18T03:00:00","1000 Block CHARTIERS AV PITTSBURGH, PA 15204","N","North Oakland","3","BURGLARY/FORCE ENT/RES","3502 Burglary.",2008,2,5,-80.0406073,40.44420027
"4614",3050854,19001397,26,"2019-01-02T23:42:00","2000 Block Letsche ST & Mercy ST Pittsburgh, PA 15214","Y","Fineview","1","DRUG PARAPHERNALIA","3323 Stop Signs and Yield Signs. / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant",2509,6,1,-80.0084556375491,40.4634810252638
"4615",2095286,5065459,6,"2005-04-20T13:01:00","2000 Block WHARTON ST PITTSBURGH, PA 15203","N","South Side Flats","3","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",1702,3,4,-79.97681333,40.43002082
"4616",2847847,16139443,5,"2016-07-27T17:10:00","400 Block S Highland AV Pittsburgh, PA 15206","N","Shadyside","4","BURGLARY/FORCE ENT/NON-RES","3502 Burglary.",705,8,2,-79.92546108,40.45393309
"4617",2933583,17147368,99,"2017-08-05T11:28:00","Wylie AV & Elmore ST Pittsburgh, PA 15219","Y","Middle Hill","2",NA,"9998 Overdose Other",501,6,3,-79.9778435867211,40.4454867107567
"4618",3100828,19167746,3,"2019-08-22T16:50:00","500 Block East Ohio ST Pittsburgh, PA 15212","Y","East Allegheny","1","ROBBERY/COMMERCIAL/GUN","2706 Terroristic Threats. / 3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition.",2304,1,1,-80.0005722739975,40.4535002610431
"4619",2965337,17245474,10,"2017-12-21T23:52:00","700 Block Brushton AV Pittsburgh, PA 15221","N","Homewood South","5","SIMPLE ASSAULT/NO INJURY","2701 Simple Assault.",1304,9,2,-79.8887413758942,40.4536752604852
"4620",2922639,17118221,11,"2017-05-15T23:00:00","200 Block Balver AV Pittsburgh, PA 15205","N","Oakwood","6","CREDIT CARDS","4106 Access Device Fraud",2812,2,5,-80.068549272063,40.4292996852992
"4621",2932977,17146256,4,"2017-08-03T20:20:00","Hazelwood AV & Greenfield AV Pittsburgh, PA 15217","N","Greenfield","4","PROPULSION OF MISSILES INTO OCC VEH/RDWY/NO INJ","2707 Propulsion of Missiles  / 3304 Criminal Mischief.",1517,5,3,-79.9292155578756,40.4197525221644
"4622",2942276,17172553,99,"2017-09-08T17:10:00","2600 Block Tunnel BL Pittsburgh, PA 15203","N","Bluff","3",NA,"9018 Accidental Fire",103,3,4,-79.9629329761104,40.4268630285672
"4623",2934704,17150982,99,"2017-08-10T13:32:00","300 Block N Braddock AV Pittsburgh, PA 15208","Y","Point Breeze North","4",NA,"9498 302 (Mental)",1405,9,2,-79.8927981107979,40.4496466570257
"4624",3071897,19071943,14,"2019-04-18T07:00:00","300 Block Chester AV Pittsburgh, PA 15214","N","Perry South","1","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",2614,6,1,-80.013705019365,40.4674922395898
"4625",3000591,18101276,99,"2018-05-29T14:35:00","300 Block Oliver AV Pittsburgh, PA 15222","N","Central Business District","2",NA,"9489 Found Property",201,NA,NA,0,0
"4626",3061821,18195732,4,"2018-10-04T01:50:00","Liberty AV & Taylor ST Pittsburgh, PA 15224","N","Bloomfield","5","AGG ASSAULT/DRIVEBY/GUN/NO INJURY","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.",802,7,2,-79.9508874520597,40.4626441880927
"4627",3076464,19085437,6,"2019-05-06T14:00:00","100 Block Melrose AV Pittsburgh, PA 15214","N","Perry South","1","THEFT FROM AUTO","3934 Theft from Vehicle",2614,NA,NA,0,0
"4628",2839865,16111478,99,"2016-06-16T16:42:00","1500 Block Princess AV Pittsburgh, PA 15216","Y","Beechview","6",NA,"9999 Miscellaneous Report (No Crime)",1916,4,5,-80.01748098,40.41144934
"4629",3007308,18119640,6,"2018-06-22T16:30:00","1200 Block Federal ST Pittsburgh, PA 15212","N","Central North Side","1","THEFT FROM BUILDING","3921 Theft by Unlawful Taking or Disposition.",2206,1,1,-80.00649197,40.45603437
"4630",2104847,5102260,10,"2005-06-03T07:03:00","MARSHALL RD & BRIGHTON RD PITTSBURGH, PA ","Y","Brighton Heights","1","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2603,6,1,-80.02501306,40.46688713
"4631",2987815,18051971,15,"2018-03-20T00:30:00","3400 Block McClure AV Pittsburgh, PA 15212","N","Brighton Heights","1","WEAPONS-CARRY/POS-OTHER","2707.1 Discharge of a Firearm into Occupied Structure",2703,1,1,-80.03648258,40.47754548
"4632",2877916,16227832,6,"2016-12-06T07:15:00","300 Block Bailey AV Pittsburgh, PA 15211","N","Mount Washington","3","THEFT FROM AUTO","3934 Theft from Vehicle",1807,3,4,-80.00244888,40.42675878
"4633",2944518,17183692,23,"2017-09-24T01:20:00","Walnut ST & S Negley AV Pittsburgh, PA 15232","Y","Shadyside","4","PUBLIC DRUNKENESS","5505 Public Drunkenness",703,8,2,-79.9309792164302,40.4520617445445
"4634",2927922,17133368,99,"2017-07-17T02:12:00","900 Block Arlington AV Pittsburgh, PA 15203","Y","South Side Slopes","3",NA,"9498 302 (Mental)",1706,3,4,-79.9906670899211,40.4252239237838
"4635",2984924,18050693,10,"2018-03-18T16:27:00","300 Block Clover ST Pittsburgh, PA 15210","N","Arlington","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1603,3,3,-79.97202395,40.41473751
"4636",3092858,19140693,6,"2019-07-17T10:45:00","900 Block Penn AV Pittsburgh, PA 15222","N","Central Business District","2","THEFT FROM BUILDING","3921(a) Theft by Unlawful Taking or Disposition - Movable item",201,6,6,-79.9980468769971,40.4436186700538
"4637",2958695,17227450,99,"2017-11-25T02:40:00","500 Block Foreland ST Pittsburgh, PA 15212","Y","East Allegheny","1",NA,"9999 Miscellaneous Report (No Crime)",2304,1,1,-80.0008378695638,40.4543477726939
"4638",2832651,16092126,99,"2016-05-20T01:34:00","James ST & E North AV Pittsburgh, PA 15212","Y","Central Northside","1",NA,"4303 General Lighting Requirements. / 9501 Bench Warrant",2206,1,1,-80.00156732,40.45641343
"4639",3028029,18180813,99,"2018-09-14T21:46:00","100 Block 41st ST Pittsburgh, PA 15201","Y","Central Lawrenceville","2",NA,"9492 Dog Bite",901,NA,NA,0,0
"4640",3094659,19147325,18,"2019-07-26T20:19:00","Frankstown AV & N Murtland ST Pittsburgh, PA 15208","Y","Homewood West","5","MARIJUANA-POSSESS","4524 Windshield Obstructions and Wipers. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount",1207,9,2,-79.9011186955799,40.4584978613968
"4641",2841096,16120736,10,"2016-06-29T00:01:00","2800 Block Spring Garden AV Pittsburgh, PA 15212","N","Spring Garden","1","TERRORISTIC THREATS","2709 Harassment (Non-Specific)",2412,1,1,-79.98941719,40.47614752
"4642",2949670,17192010,99,"2017-10-05T13:30:00","6000 Block Kirkwood ST Pittsburgh, PA 15206","N","East Liberty","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1115,9,2,-79.9246352798032,40.4619548042543
"4643",2115084,5151708,99,"2005-08-07T20:20:00","200 Block E OHIO ST PITTSBURGH, PA 15212","Y","Allegheny Center","1",NA,"9498 302 (Mental)",2204,1,1,-80.00366043,40.45302239
"4644",2851963,16152832,14,"2016-08-15T22:20:00","300 Block Rochelle ST Pittsburgh, PA 15210","N","Knoxville","3","CRIMINAL MISCHIEF","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",3001,3,4,-79.99307441,40.4149833
"4645",2902836,17055204,99,"2017-03-27T20:39:00","2600 Block Brownsville RD Pittsburgh, PA 15210","Y","Carrick","3",NA,"9497 Aided Case",2901,4,4,-79.9788010618009,40.385442305757
"4646",3069845,19062960,10,"2019-04-06T11:30:00","500 Block Rosedale ST Pittsburgh, PA 15221","Y","Homewood South","5","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1304,9,2,-79.8872610421047,40.4492711084669
"4647",2866946,16198422,6,"2016-10-18T08:00:00","E Carson ST & S 1st ST Pittsburgh, PA 15219","N","South Shore","3","THEFT/PROP-LOST/MISLAID/DEL","3921 Theft by Unlawful Taking or Disposition.",1921,3,5,-80.00048499,40.43057582
"4648",2097943,5076877,99,"2005-05-06T20:28:00","2600 Block W CARSON ST PITTSBURGH, PA ","N","Larimer","3",NA,"9493 Fires (Self-Starting)",2005,3,4,-79.96825881,40.42693811
"4649",2856282,16165981,7,"2016-09-03T07:45:00","3600 Block Forbes AV Pittsburgh, PA 15213","N","Central Oakland","4","MTR VEH THEFT (AUTO)","3921(a) Theft by Unlawful Taking or Disposition - Movable item",405,3,3,-79.9574405,40.44026446
"4650",2851012,16148363,5,"2016-08-01T15:00:00","6800 Block Lyric ST Pittsburgh, PA 15206","N","Homewood West","5","BURGLARY/FORCE ENT/RES","3502 Burglary.",1207,9,2,-79.90333462,40.46347153
"4651",2969355,18005767,99,"2018-01-10T10:08:00","2200 Block Beechwood BL Pittsburgh, PA 15217","Y","Squirrel Hill South","4",NA,"9999 Miscellaneous Report (No Crime)",1408,5,3,-79.91276984,40.43487119
"4652",2929208,17130691,26,"2017-07-13T07:00:00","Zone 5","N","","5","CORRUPTION OF MINORS","6301 Corruption of Minors.",NA,NA,NA,NA,NA
"4653",2082536,5021254,7,"2005-02-11T04:00:00","2500 Block JOSEPHINE ST PITTSBURGH, PA ","N","South Side Flats","3","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",1601,3,4,-79.97112275,40.42432149
"4654",2969432,18003724,99,"2018-01-06T23:00:00","S 18th ST & Carey WY Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"9501 Bench Warrant",1702,3,3,-79.98060846,40.42829021
"4655",2970202,18009285,6,"2018-01-15T11:45:00","3500 Block Shadeland AV Pittsburgh, PA 15212","N","Brighton Heights","1","THEFT M.V. PARTS,ACCESSORIES","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2703,1,1,-80.03411038,40.47939835
"4656",2828738,16082388,10,"2016-05-05T18:46:00","400 Block Sweetbriar ST Pittsburgh, PA 15211","N","Duquesne Heights","3","HARRASSMENT/THREAT/ATTEMPT/PHY","9999 Miscellaneous Report (No Crime)",1911,2,5,-80.02251715,40.43574938
"4657",2824874,16069119,3,"2016-04-16T23:45:00","Frankstown AV & N Lang AV Pittsburgh, PA 15208","N","Homewood North","5","ROBBERY/PURSE SNATCH/STRONGARM","2701 Simple Assault. / 3701 Robbery.",1302,9,2,-79.89852838,40.45790578
"4658",3068099,19058968,14,"2019-03-31T19:04:00","2200 Block East Hills DR Pittsburgh, PA 15221","N","Homewood North","5","CRIMINAL MISCHIEF","3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",1301,9,2,-79.8730925207885,40.4539041976002
"4659",2987577,18056109,99,"2018-03-26T18:19:00","Butler ST & 54th ST Pittsburgh, PA 15201","Y","Upper Lawrenceville","2",NA,"9018 Accidental Fire",1011,7,2,-79.95121336,40.48285507
"4660",3090486,19129191,5,"2019-07-01T09:18:00","100 Block Federal ST Pittsburgh, PA 15212","N","North Shore","1","BURGLARY/NO FORCE/NON-RES","3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.",2205,1,6,-80.0037669983711,40.4477993564896
"4661",2972067,18014066,99,"2018-01-21T13:39:00","7200 Block Stranahan ST Pittsburgh, PA 15206","Y","Homewood North","5",NA,"9999 Miscellaneous Report (No Crime)",1301,9,2,-79.8943615,40.46251074
"4662",2140330,5250308,6,"2005-12-23T16:55:00","300 Block ARABELLA ST PITTSBURGH, PA ","N","Knoxville","3","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",3001,3,4,-79.99306681,40.4121654
"4663",2977441,18030063,99,"2018-02-16T09:41:00","4400 Block McCaslin ST Pittsburgh, PA 15207","Y","Hazelwood","4",NA,"9999 Miscellaneous Report (No Crime)",1501,5,3,-79.93817743,40.4190412
"4664",2094759,5059983,10,"2005-04-13T00:05:00","4000 Block CAMBRONNE ST PITTSBURGH, PA 15214","Y","Brighton Heights","1","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2701,1,1,-80.0409527,40.48770412
"4665",2882138,16241430,6,"2016-12-29T18:55:00","2400 Block Bedford AV Pittsburgh, PA 15219","N","Bedford Dwellings","2","THEFT BICYCLES","3921 Theft by Unlawful Taking or Disposition.",509,6,3,-79.97427068,40.44960637
"4666",2945021,17186328,6,"2017-09-27T16:30:00","200 Block S 9th ST Pittsburgh, PA 15203","N","South Side Flats","3","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1702,6,6,-79.9984071278657,40.4437129885476
"4667",2117128,5134613,6,"2005-07-17T10:00:00","300 Block CRAWFORD PITTSBURGH, PA ","N","Upper Hill","2","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",506,6,6,-79.98546915,40.44017725
"4668",2914059,17086239,10,"2017-05-12T02:07:00","Ohio River BL & Marshall Ave RAMP Pittsburgh, PA 15233","N","Chateau","1","RECKLESSLY ENDANGER ANOTH PER","2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2108,NA,NA,0,0
"4669",2095280,5064129,20,"2005-04-18T16:00:00","5800 Block WELLSLEY ST PITTSBURGH, PA ","Y","Highland Park","5","ENDANGER WELFARE OF CHILDREN","4304(a)(1) Endangering Welfare of Children.",1102,7,2,-79.92236999,40.47310047
"4670",3012676,18138205,99,"2018-07-20T11:30:00","10 Block Oakland AV Pittsburgh, PA 15223","N","Outside City","OSC",NA,"9094 Recovered Stolen Vehicle (OUTSIDE CITY)",5599,3,3,-79.95170889,40.43741111
"4671",2117476,5162190,6,"2005-08-20T04:45:00","4700 Block LIBERTY AV PITTSBURGH, PA ","N","Bloomfield","5","THEFT FROM AUTO","3921 Theft by Unlawful Taking or Disposition.",802,7,2,-79.94990411,40.46203965
"4672",2881364,16236405,99,"2016-12-11T23:59:00","400 Block North Shore DR Pittsburgh, PA 15212","Y","North Shore","1",NA,"9504 Lost Property",2205,1,6,-80.01233658,40.44626305
"4673",2851984,16153610,15,"2016-08-16T23:24:00","800 Block Brushton AV Pittsburgh, PA 15221","Y","Homewood South","5","FIREARMS NOT TO BE CARRIED WO LICENSE","6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance",1304,9,2,-79.88837848,40.45461029
"4674",2080701,5010881,14,"2005-01-21T16:30:00","3000 Block VENSEL WY PITTSBURGH, PA 15212","N","Central Oakland","1","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",2705,1,1,-80.02872837,40.47202205
"4675",2921509,17111062,26,"2017-06-16T14:10:00","5200 Block Liberty AV Pittsburgh, PA 15224","Y","Bloomfield","5","PROTECTIVE ORDERS","9093 Indirect Criminal Contempt",804,7,2,-79.9412090154009,40.4569558805339
"4676",2910531,17078026,6,"2017-04-29T23:38:00","Centre AV & N Craig ST Pittsburgh, PA 15213","N","North Oakland","4","THEFT/PICK POCKET","3701 Robbery.",507,8,3,-79.9520177844834,40.4518838765832
"4677",2885570,17000342,99,"2017-01-01T13:13:00","600 Block Bausman ST Pittsburgh, PA 15210","Y","Knoxville","3",NA,"9998 Overdose Other",3001,3,4,-79.9969385772733,40.4141260982826
"4678",3031333,18197562,99,"2018-10-06T12:20:00","2200 Block Noblestown RD Pittsburgh, PA 15205","Y","Westwood","6",NA,"9017 Found Drugs",2811,2,5,-80.05391184,40.43008044
"4679",3084353,19108989,10,"2019-06-05T17:40:00","90 Block Pasadena ST Pittsburgh, PA 15211","N","Mount Washington","3","RECKLESSLY ENDANGER ANOTH PER","2705 Recklessy Endangering Another Person. / 5121 Escape. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3733 Fleeing or Attempting to Elude Police Officer",1807,3,5,-80.0018421059661,40.4225903234177
"4680",2928424,17134857,99,"2017-07-19T07:22:00","200 Block Stanwix ST Pittsburgh, PA 15222","Y","Central Business District","2",NA,"8104 CLASS 1 - Suspicious Package or Device",201,6,6,-80.0048068186723,40.4397944373483
"4681",2860916,16181218,6,"2016-09-24T15:00:00","600 Block Pressley ST Pittsburgh, PA 15212","N","East Allegheny","1","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",2304,1,1,-79.99867635,40.45221085
"4682",2947635,17190317,18,"2017-10-03T11:00:00","California AV & Antrim ST Pittsburgh, PA 15212","Y","Brighton Heights","1","MARIJUANA-POSSESS","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount",2703,1,1,-80.0395724744217,40.4752602691685
"4683",2997820,18092198,99,"2018-05-17T08:40:00","600 Block N Beatty ST Pittsburgh, PA 15206","Y","East Liberty","5",NA,"9999 Miscellaneous Report (No Crime)",1113,9,2,-79.92366172,40.46744272
"4684",2832008,16092399,14,"2016-05-12T13:36:00","4000 Block Liberty AV Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",903,7,2,-79.95725005,40.46276637
"4685",2846433,16135202,99,"2016-07-21T08:10:00","Zone 2","N","","2",NA,"3124.1 Sexual Assault",NA,NA,NA,NA,NA
"4686",3079306,19091627,99,"2019-05-14T13:01:00","600 Block Pressley ST Pittsburgh, PA 15212","N","East Allegheny","1",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",2304,1,1,-79.9986796721415,40.4522188227153
"4687",2109217,5127020,17,"2005-07-07T14:05:00","Zone 5","N","","5","INDECENT ASSAULT","3126 Indecent Assault.",NA,NA,NA,NA,NA
"4688",2098842,5081952,6,"2005-05-12T20:10:00","6300 Block SHAKESPERE ST PITTSBURGH, PA ","N","North Oakland","4","THEFT/PROP-LOST/MISLAID/DEL","9999 Miscellaneous Report (No Crime)",707,8,2,-79.92146083,40.45888145
"4689",3018206,18154656,99,"2018-08-12T01:02:00","3100 Block Frederick ST Pittsburgh, PA 15212","Y","Marshall-Shadeland","1",NA,"9998 Overdose Other",2715,1,1,-80.03083398,40.47335593
"4690",2919249,17107608,99,"2017-06-09T19:30:00","Pa Rt 28 RAMP & Progress ST Pittsburgh, PA ","N","Troy Hill","1",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",2406,NA,NA,0,0
"4691",3034084,18209816,6,"2018-10-22T23:00:00","2600 Block E Carson ST Pittsburgh, PA 15203","N","South Side Flats","3","THEFT FROM AUTO","3304 Criminal Mischief.",1609,3,3,-79.96824219,40.42727897
"4692",2089016,5040207,10,"2005-03-15T20:15:00","S NEGLEY AV & BAUM BL PITTSBURGH, PA ","Y","Friendship","4","HARRASSMENT/THREAT/ATTEMPT/PHY","2709 Harassment (Non-Specific)",807,7,2,-79.93381936,40.45835167
"4693",3063658,19042201,99,"2019-03-05T08:24:00","5000 Block Cypress ST Pittsburgh, PA 15224","Y","Bloomfield","5",NA,"9999 Miscellaneous Report (No Crime)",804,7,2,-79.9460253485679,40.458157316039
"4694",2120521,5173057,14,"2005-09-03T11:00:00","500 Block N HOMEWOOD AV PITTSBURGH, PA ","Y","Homewood South","5","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",1303,9,2,-79.89852454,40.45303315
"4695",2133719,5224152,18,"2005-11-11T16:05:00","LENOX ST & HOLYOKE ST PITTSBURGH, PA ","Y","Knoxville","1","OPIUM/COCAINE/DERV-POSSESS","13(a)(16) Possession of Controlled Substance",2604,6,1,-80.01447107,40.46641313
"4696",3046945,18245874,10,"2018-12-15T01:15:00","300 Block E North AV Pittsburgh, PA 15212","Y","Allegheny Center","1","HARRASSMENT/THREAT/ATTEMPT/PHY","2702 Aggravated Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2204,NA,NA,-79.8427960425285,40.4125315408834
"4697",2100405,5086461,6,"2005-05-19T12:45:00","5600 Block WILKINS AV PITTSBURGH, PA 15217","N","Squirrel Hill North","4","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery.",1403,8,3,-79.9276584,40.44379119
"4698",2133560,5225087,14,"2005-11-12T19:57:00","5200 Block GLENWOOD AV PITTSBURGH, PA ","N","Highland Park","4","CRIMINAL MISCHIEF","3304 Criminal Mischief.",1505,5,3,-79.93975056,40.40629114
"4699",2825710,16070892,11,"2016-04-13T13:00:00","3400 Block Middletown RD Pittsburgh, PA 15204","N","Sheraden","6","IDENTITY THEFT","4120 Identity Theft",2022,2,5,-80.07083018,40.45269374
"4700",2981636,18040944,10,"2018-03-03T18:30:00","200 Block Parkfield ST Pittsburgh, PA 15210","Y","Carrick","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault. / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE",2901,4,3,-79.99041093,40.39199231
